Sample_name,Label,Hash,nReads
MV1-FHL055_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,4
MV1-FHL042_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,10
MV1-FHL081_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,3
MV1-FHL073_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,26
MV1-FHL044_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,12
MV1-FHL024_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,15
MV1-FHL047_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,47
MV1-FHL025_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,6
MV1-FHL062_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,6
MV1-FHL083_MV1,MV1,e5bd1e5f7a07105c08bf2086cb5a612d72277f4c,35
MV1-FHL012_MV1,MV1,72cdb5b01a340a8b33b570f22ccdd64990726901,39
MV1-FHL018_MV1,MV1,d52f7e92cf5b3ebcb9f23f7250d8219c9c7828e5,9
MV1-FHL013_MV1,MV1,e776d870aa926b2e757c2a5ff4da6f006ba8906a,25
MV1-FHL006_MV1,MV1,bc195d4ba23ef50b98fcc3b583d5f57432895135,218
MV1-FHL024_MV1,MV1,790904862049cc2669125b990575142955608355,2
MV1-FHL016_MV1,MV1,e84d9d517882097bc1aa6163966efae7268dc34f,3
MV1-FHL043_MV1,MV1,2b5b52596b03bd1348806395e6a9a31c4aa7167d,128
MV1-FHL013_MV1,MV1,dbaef559e24b83dd4b42574586f0f73b1d27be99,13
MV1-FHL044_MV1,MV1,a4af4f7eda8ff0db3de086ab8a7a769747963b3c,91
MV1-FHL041_MV1,MV1,9998c599d8ce9e038152179f3a88f6e50f345b95,8
MV1-FHL089_MV1,MV1,eacb5188e838c431ea4b237bb9fe042182b1e517,10
MV1-FHL026_MV1,MV1,cbea6e2f46020efcf9c01f9b6f612b7f4a6af9cf,3
MV1-FHL090_MV1,MV1,47eb626aa7cbe61d78fd626a4620db6af438ddac,417
MV1-FHL047_MV1,MV1,3c0c7bff710f8b80aee28ccfba5a2acaf13800bc,45
MV1-FHL018_MV1,MV1,e657317971463a018628f6151fe0a5eb10fcf1e4,16
MV1-FHL093_MV1,MV1,1b45b8c69699a3b9e72a5689f8c20ea1adb50cc3,268
MV1-FHL018_MV1,MV1,1b45b8c69699a3b9e72a5689f8c20ea1adb50cc3,19
MV1-FHL048_MV1,MV1,1b45b8c69699a3b9e72a5689f8c20ea1adb50cc3,382
MV1-FHL016_MV1,MV1,1b45b8c69699a3b9e72a5689f8c20ea1adb50cc3,10
MV1-FHL075_MV1,MV1,1b45b8c69699a3b9e72a5689f8c20ea1adb50cc3,2
MV1-FHL085_MV1,MV1,1b45b8c69699a3b9e72a5689f8c20ea1adb50cc3,76
MV1-FHL009_MV1,MV1,1b45b8c69699a3b9e72a5689f8c20ea1adb50cc3,112
MV1-FHL077_MV1,MV1,1b45b8c69699a3b9e72a5689f8c20ea1adb50cc3,56
MV1-FHL081_MV1,MV1,1b45b8c69699a3b9e72a5689f8c20ea1adb50cc3,978
MV1-FHL051_MV1,MV1,1b45b8c69699a3b9e72a5689f8c20ea1adb50cc3,16
MV1-FHL061_MV1,MV1,e810936bc5c51be8f59037e0d51803406d89981d,4
MV1-FHL026_MV1,MV1,210e38f41f60516505a88a4d7e23a58e19f491c6,15
MV1-FHL085_MV1,MV1,01f251963117a66f2a7cb37735cb2741a5946e68,32
MV1-FHL016_MV1,MV1,a9026fe8e4b8304738feb77c2e544bbe8a89c5de,14
MV1-FHL077_MV1,MV1,92b4630c7a7e882d2d2b6634ab9c42f06e0bda3e,5
MV1-FHL018_MV1,MV1,86714d9b7d6e7451326fb1f1e98918c1b6144c91,26
MV1-FHL085_MV1,MV1,cd90c24996138e7d72ecf6f791d8c9c58a29376d,26
MV1-FHL018_MV1,MV1,1988342be871c751f7e9db304354a3f0f06d49ec,2
MV1-FHL044_MV1,MV1,99c48bdef49006d61bd9b59cecef5fbe9d90ffbc,3
MV1-FHL030_MV1,MV1,f4707a058ee2b8c173402417f8e8d4c422e5305b,12
MV1-FHL013_MV1,MV1,b90c20b77e85966793dc74998ab96eee79d925c3,2
MV1-FHL081_MV1,MV1,9f5d3b89bd00176f998a1347c0dce976e5dc105e,154
MV1-FHL003_MV1,MV1,6dfe5c7401fdeb72b7f4184fe3552b5dc298d90a,2
MV1-FHL061_MV1,MV1,6dfe5c7401fdeb72b7f4184fe3552b5dc298d90a,6
MV1-FHL044_MV1,MV1,6dfe5c7401fdeb72b7f4184fe3552b5dc298d90a,4
