BestTaxon,Class,LoLe-ENC3-COI_R1.fastq.gz,LoLe-ENC4A-COI_R1.fastq.gz,LoLe-ENC5B-COI_R1.fastq.gz,LoLe-ENC6C-COI_R1.fastq.gz,LoLe-FHL001-COI-N1-NL-1_R1.fastq.gz,LoLe-FHL002-COI-N1-NL-2_R1.fastq.gz,LoLe-FHL003-COI-N1-NL-3_R1.fastq.gz,LoLe-FHL004-COI-N1-WL-1_R1.fastq.gz,LoLe-FHL005-COI-N1-WL-2_R1.fastq.gz,LoLe-FHL006-COI-N1-WL-3_R1.fastq.gz,LoLe-FHL008-COI-D1-NL-1_R1.fastq.gz,LoLe-FHL009-COI-D1-NL-2_R1.fastq.gz,LoLe-FHL010-COI-D1-NL-3_R1.fastq.gz,LoLe-FHL011-COI-D1-WL-1_R1.fastq.gz,LoLe-FHL012-COI-D1-WL-2_R1.fastq.gz,LoLe-FHL013-COI-D1-WL-3_R1.fastq.gz,LoLe-FHL015-COI-N2-NL-1_R1.fastq.gz,LoLe-FHL016-COI-N2-NL-2_R1.fastq.gz,LoLe-FHL017-COI-N2-NL-3_R1.fastq.gz,LoLe-FHL018-COI-N2-WL-1_R1.fastq.gz,LoLe-FHL019-COI-N2-WL-2_R1.fastq.gz,LoLe-FHL020-COI-N2-WL-3_R1.fastq.gz,LoLe-FHL021-COI-N2-FN_R1.fastq.gz,LoLe-FHL022-COI-D2-NL-1_R1.fastq.gz,LoLe-FHL023-COI-D2-NL-2_R1.fastq.gz,LoLe-FHL024-COI-D2-NL-3_R1.fastq.gz,LoLe-FHL025-COI-D2-WL-1_R1.fastq.gz,LoLe-FHL026-COI-D2-WL-2_R1.fastq.gz,LoLe-FHL027-COI-D2-WL-3_R1.fastq.gz,LoLe-FHL029-COI-D3-NL-1_R1.fastq.gz,LoLe-FHL030-COI-D3-NL-2_R1.fastq.gz,LoLe-FHL031-COI-D3-NL-3_R1.fastq.gz,LoLe-FHL032-COI-D3-WL-1_R1.fastq.gz,LoLe-FHL033-COI-D3-WL-2_R1.fastq.gz,LoLe-FHL034-COI-D3-WL-3_R1.fastq.gz,LoLe-FHL036-COI-N3-FN_R1.fastq.gz,LoLe-FHL037-COI-N3-NL-1_R1.fastq.gz,LoLe-FHL038-COI-N3-NL-2_R1.fastq.gz,LoLe-FHL039-COI-N3-NL-3_R1.fastq.gz,LoLe-FHL040-COI-N3-WL-1_R1.fastq.gz,LoLe-FHL041-COI-N3-WL-2_R1.fastq.gz,LoLe-FHL042-COI-N3-WL-3_R1.fastq.gz,LoLe-FHL043-COI-D4-NL-1_R1.fastq.gz,LoLe-FHL044-COI-D4-NL-2_R1.fastq.gz,LoLe-FHL045-COI-D4-NL-3_R1.fastq.gz,LoLe-FHL047-COI-D4-WL-1_R1.fastq.gz,LoLe-FHL048-COI-D4-WL-2_R1.fastq.gz,LoLe-FHL049-COI-D4-WL-3_R1.fastq.gz,LoLe-FHL050-COI-N4-FN_R1.fastq.gz,LoLe-FHL051-COI-N4-NL-1_R1.fastq.gz,LoLe-FHL052-COI-N4-NL-2_R1.fastq.gz,LoLe-FHL053-COI-N4-NL-3_R1.fastq.gz,LoLe-FHL054-COI-N4-WL-1_R1.fastq.gz,LoLe-FHL055-COI-N4-WL-2_R1.fastq.gz,LoLe-FHL056-COI-N4-WL-3_R1.fastq.gz,LoLe-FHL058-COI-D5-NL-1_R1.fastq.gz,LoLe-FHL059-COI-D5-NL-2_R1.fastq.gz,LoLe-FHL060-COI-D5-NL-3_R1.fastq.gz,LoLe-FHL061-COI-D5-WL-1_R1.fastq.gz,LoLe-FHL062-COI-D5-WL-2_R1.fastq.gz,LoLe-FHL063-COI-D5-WL-3_R1.fastq.gz,LoLe-FHL064-COI-N5-FN_R1.fastq.gz,LoLe-FHL065-COI-N5-NL-1_R1.fastq.gz,LoLe-FHL066-COI-N5-NL-2_R1.fastq.gz,LoLe-FHL067-COI-N5-NL-3_R1.fastq.gz,LoLe-FHL068-COI-N5-WL-1_R1.fastq.gz,LoLe-FHL069-COI-N5-WL-2_R1.fastq.gz,LoLe-FHL070-COI-N5-WL-3_R1.fastq.gz,LoLe-FHL071-COI-D6-FN_R1.fastq.gz,LoLe-FHL072-COI-D6-NL-1_R1.fastq.gz,LoLe-FHL073-COI-D6-NL-2_R1.fastq.gz,LoLe-FHL074-COI-D6-NL-3_R1.fastq.gz,LoLe-FHL075-COI-D6-WL-1_R1.fastq.gz,LoLe-FHL076-COI-D6-WL-2_R1.fastq.gz,LoLe-FHL077-COI-D6-WL-3_R1.fastq.gz,LoLe-FHL078-COI-N6-FN_R1.fastq.gz,LoLe-FHL081-COI-N6-NL-3_R1.fastq.gz,LoLe-FHL082-COI-N6-WL-1_R1.fastq.gz,LoLe-FHL083-COI-N6-WL-2_R1.fastq.gz,LoLe-FHL084-COI-N6-WL-3_R1.fastq.gz,LoLe-FHL085-COI-D7-NL-1_R1.fastq.gz,LoLe-FHL086-COI-D7-NL-2_R1.fastq.gz,LoLe-FHL087-COI-D7-NL-3_R1.fastq.gz,LoLe-FHL088-COI-D7-WL-1_R1.fastq.gz,LoLe-FHL089-COI-D7-WL-2_R1.fastq.gz,LoLe-FHL090-COI-D7-WL-3_R1.fastq.gz,LoLe-FHL092-COI-N7-NL-1_R1.fastq.gz,LoLe-FHL093-COI-N7-NL-2_R1.fastq.gz,LoLe-FHL094-COI-N7-NL-3_R1.fastq.gz,LoLe-PCRNa-COI_R1.fastq.gz,LoLe-PCRNb-COI_R1.fastq.gz
Obelia,Hydrozoa,0,0,0,0,703,321,309,50,48,0,1410,951,285,913,1939,2385,130,318,34,66,2572,132,0,486,830,3149,494,417,753,758,1357,3128,543,1036,487,0,141,21,127,29,181,296,320,295,197,73,61,59,0,17,0,0,7,41,128,0,43,71,16,14,21,0,0,0,88,445,0,49,0,0,6,6,63,107,438,0,0,6,38,41,1265,2,73,1005,0,102,0,0,0,0,0
Olpidiopsis,,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthopyxis,Hydrozoa,0,0,0,0,10,0,17,0,0,0,52,21,5,32,67,60,9,6,0,10,15,0,0,6,20,36,0,0,20,0,0,0,51,19,25,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0
Paleanotus bellis,Polychaeta,0,0,0,0,4236,1902,1616,296,170,309,0,4,10,212,5,0,60,0,31,0,58,9,0,59,37,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4,83,0,0,7,6,4,111,0,0,0,40,50,0,21,0,0,0,0,30,17,0,0,0,6,0,205,0,0,28,81,0,26,0,0,0,0,0
Paracalanus,Hexanauplia,0,0,0,0,28,6,22,0,7,2,38,36,0,10,7,29,21,86,0,54,45,9,0,0,7,0,25,49,38,4,179,39,0,12,22,0,17,41,90,70,160,26,17,59,77,148,98,90,0,0,0,0,3,22,58,0,12,26,6,118,0,0,0,0,0,45,0,0,0,0,0,0,0,27,48,0,0,0,10,0,37,0,3,102,0,3,0,0,0,0,0
Paralia sulcata,Coscinodiscophyceae,0,0,0,0,57,0,5,22,3,4,23,38,33,6,6,45,19,22,0,8,11,6,0,9,17,14,8,14,22,4,24,8,2,12,19,0,15,14,49,18,41,29,46,34,53,16,9,0,0,0,0,0,0,0,2,0,10,17,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0
Paramoeba,Flabellinia,0,0,0,0,16,0,5,13,0,0,18,12,21,6,4,25,28,24,0,7,5,3,0,15,19,13,7,27,33,0,64,7,0,12,20,0,17,29,77,22,44,40,44,47,80,24,2,0,0,0,0,0,0,2,0,0,7,9,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0
Pedospumella,Chrysophyceae,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,4,0,0,0,0,0,0,9,0,0,6,0,0,0,6,0,0,0,16,0,5,4,0,5,13,5,3,0,0,0,0,0,0,0,0,0,0,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Perophora,Ascidiacea,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,5,0,0,2,5,7,7,4,0,20,0,10,0,7,0,0,9,6,0,0,0,7,0,0,0,0,0,0,2,0,0,2,6,6,9,4,0,0,0,8,7,0,9,0,0,0,0,6,5,10,0,0,16,41,33,25,0,5,19,0,5,0,0,0,0,0
Phacellophora camtschatica,Scyphozoa,0,0,0,0,36,9,16,15,22,0,5,5,7,8,0,8,0,15,0,57,44,14,0,0,5,5,25,27,23,0,4,5,4,7,23,0,4,0,0,23,3,9,11,0,27,10,24,41,0,2,0,0,0,0,0,0,0,16,57,23,35,0,0,0,43,84,0,30,0,0,0,0,12,9,51,0,0,0,3,5,45,0,0,46,0,12,0,0,0,0,0
Phaeocystis globosa,,0,0,0,0,16,0,13,30,10,0,120,130,68,13,17,49,51,40,0,9,12,6,0,46,57,59,44,644,99,0,287,45,11,43,134,0,23,57,357,104,87,80,207,237,477,319,98,61,0,0,0,0,0,0,0,0,33,21,21,413,21,0,0,0,3,12,0,0,0,0,0,0,2,27,60,0,0,0,25,26,256,0,0,67,0,0,0,0,0,0,0
Phyllodocida,Polychaeta,0,0,0,0,62,30,16,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phyllodocida sp. 11BIOAK-0972,Polychaeta,0,0,0,0,87,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phyllodocida sp. BP2010-002,Polychaeta,0,0,0,0,1662,725,614,72,96,68,25,0,0,58,0,0,46,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,3,0,0,0,4,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,0,59,0,0,0,0,30,0,0,0,0,0
Platynereis,Polychaeta,0,0,0,0,13,8,11,3726,4125,229,3,0,13,10,18,20,4,3,0,10750,6571,207,0,31,404,47,157,14,33,126,1108,46,228,116,83,0,13,15,17,1946,20464,3988,344,3088,145,7745,1107,772,0,4,0,0,5,40,33,0,10,8,308,427,57,0,0,0,0,396,0,0,0,0,0,0,14,297,6,0,0,0,190,863,9,0,11,238,0,3,0,0,0,0,0
Pleurobrachia bachei,Tentaculata,0,0,0,0,112,0,6,47,57,7,41,259,0,23,0,8,98,8,0,0,21,0,0,0,55,33,0,8,4,2,10,6,0,0,0,0,0,61,52,69,0,0,0,192,23,96,83,13,0,0,0,0,0,0,7,0,5,64,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,529,0,0,2,0,0,44,0,0,210,0,0,0,0,0,0,0
Pleurosigma,Bacillariophyceae,0,0,0,0,12,5,18,41,23,29,475,391,1004,883,896,1503,36,32,7,8,30,0,0,198,1289,348,51,47,138,51,920,433,285,562,1087,0,124,205,154,108,164,179,2334,2325,3103,510,619,302,0,16,0,0,4,62,33,33,1262,826,2257,6140,925,0,0,0,5,24,0,0,0,0,37,48,244,923,1047,0,0,0,0,2,653,0,30,228,0,13,0,0,0,0,0
Plumularia lagenifera,Hydrozoa,0,0,0,0,189,48,68,0,7,3,2047,2252,334,183,133,623,11,15,0,19,7,5,0,11,32,52,7,9,11,0,12,6,13,23,25,0,16,15,40,0,17,17,20,3,21,0,0,0,0,0,0,0,0,6,0,0,42,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,0
Prionitis,Florideophyceae,0,0,0,0,21,21,10,0,0,0,41,14,11,29,57,64,0,0,0,0,0,0,0,0,8,4,0,6,9,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proboscidactyla flavicirrata,Hydrozoa,0,0,0,0,13,0,7,0,0,0,20,10,0,4,0,9,0,173,11,0,0,0,0,7,0,19,0,0,0,0,5,55,0,0,0,0,7,13,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
Protectocarpus,Phaeophyceae,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Protoperidinium cf. depressum,Dinophyceae,0,0,0,0,72,0,26,72,11,11,59,289,184,107,60,357,180,185,14,0,101,25,0,80,363,99,112,776,369,30,650,24,0,55,133,0,0,54,522,54,53,33,79,307,263,382,883,105,0,0,0,0,0,26,42,0,28,23,0,115,0,0,0,0,15,0,0,0,0,0,0,0,0,0,67,0,0,0,32,17,45,0,0,107,0,0,0,0,0,0,0
Pseudo-nitzschia,Bacillariophyceae,0,0,0,0,22,0,0,15,2,4,5,6,0,5,0,14,9,2,0,3,0,0,0,7,0,9,0,34,0,0,7,8,5,7,0,0,3,4,45,5,29,27,21,21,65,24,12,6,0,0,0,0,0,0,0,0,11,14,10,32,4,0,0,0,3,7,0,0,0,0,0,0,2,2,0,0,0,2,0,16,37,0,0,35,0,8,0,0,0,0,0
Pseudo-nitzschia delicatissima,Bacillariophyceae,0,0,0,0,242,40,141,161,82,117,177,196,261,122,119,272,193,236,55,85,83,67,0,222,287,349,177,363,428,306,1024,583,600,1137,880,0,2003,2198,3034,1338,2523,2327,1704,1284,1177,1074,1597,1659,0,755,8,0,138,776,1041,96,2487,2572,3000,4306,2431,0,0,41,3747,10243,2,1775,0,0,129,203,1287,1936,3805,0,0,253,2439,3498,9316,44,698,6973,0,737,0,0,0,0,0
Pseudo-nitzschia fryxelliana,Bacillariophyceae,0,0,0,0,12,2,0,13,9,4,8,9,18,4,0,6,8,13,0,7,8,0,0,20,11,17,6,18,18,7,30,21,20,49,56,0,88,92,160,54,139,134,75,53,76,92,108,91,0,42,0,0,14,76,60,6,153,121,162,319,115,0,0,2,125,489,0,81,0,0,7,13,79,169,265,0,0,18,94,193,724,0,43,348,0,30,0,0,0,0,0
Pseudo-nitzschia hasleana,Bacillariophyceae,0,0,0,0,22,3,6,12,0,8,2,9,12,13,0,6,14,6,36,0,9,0,0,4,4,13,3,15,11,0,6,6,18,8,28,0,12,23,17,20,38,49,26,8,25,8,19,10,0,13,0,0,0,3,5,3,32,29,38,13,29,0,0,0,31,73,0,23,0,0,3,5,35,22,64,0,0,8,80,104,69,0,10,60,0,18,0,0,0,0,0
Pseudocalanus newmani,Hexanauplia,0,0,0,0,73,388,921,1368,320,77,17,5638,14,365,12,22,2268,136,40,578,954,0,0,509,6,16,220,11,58,69,37,425,48,21,11,0,16,44,17,179,2365,20,15,11,14,1068,0,712,0,195,5,0,7,4,81,0,301,361,72,0,0,0,0,130,3902,217,0,86,0,0,195,0,10,802,22,0,0,546,757,1617,2262,0,58,3783,0,28,0,0,0,0,0
Pseudochattonella verruculosa,Dictyochophyceae,0,0,0,0,57,21,71,76,22,96,51,57,67,108,69,57,42,79,19,29,25,16,0,125,70,148,80,182,147,44,111,117,106,98,287,0,57,84,123,27,97,59,119,126,189,212,511,361,0,41,8,0,14,19,32,36,210,163,174,240,172,0,0,5,26,41,0,36,0,0,32,47,59,103,69,0,0,17,47,37,83,2,22,67,0,25,0,0,0,0,0
Psychrolutes,Actinopteri,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhizogeton cf. nudus BMBM-0908,Hydrozoa,0,0,0,0,31,101,19,0,0,0,94,24,0,8,8,19,0,11,0,0,0,0,0,9,6,27,2,16,11,0,23,22,0,19,6,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,18,0,0,0,0,0,0,0
Sabellariidae,Polychaeta,0,0,0,0,31,9,57,26,0,0,0,16,0,0,9,0,38,26,0,17,112,45,0,4,7,0,0,58,11,0,192,0,0,0,0,0,23,22,279,0,0,55,55,0,66,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,22,0,0,0,0,0,85,0,0,160,0,6,0,0,0,0,0
Saxidomus,Bivalvia,0,0,0,0,13,0,0,2,0,0,89,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,58,88,2,0,0,0,0,9,0,0,0,0,0
Semibalanus cariosus,Thecostraca,0,0,0,0,72,369,25,0,0,0,0,11,0,12,0,20,0,0,0,0,0,0,0,0,3,6,0,2,7,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skeletonema,Coscinodiscophyceae,0,0,0,0,11,0,0,4,0,2,5,16,7,8,0,6,19,8,0,4,7,0,0,0,14,7,7,57,13,0,35,8,6,5,8,0,12,17,80,23,20,20,21,25,42,32,20,15,0,0,0,0,0,6,0,0,0,8,14,59,0,0,0,0,0,0,0,0,0,0,0,0,0,10,23,0,0,0,6,13,28,0,0,6,0,0,0,0,0,0,0
Stephanodiscus,Coscinodiscophyceae,0,0,0,0,124,28,58,184,57,26,370,107,169,57,49,193,97,151,15,32,85,55,0,41,124,127,100,112,231,13,178,104,64,116,333,0,45,137,503,121,433,151,291,232,253,37,26,44,0,0,0,0,0,11,17,0,53,30,31,352,13,0,0,0,0,15,0,4,0,0,0,0,0,25,34,0,0,0,26,31,121,0,0,35,0,0,0,0,0,0,0
Stephanopyxis,Coscinodiscophyceae,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,13,0,0,0,0,0,10,0,0,0,15,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephanopyxis turris,Coscinodiscophyceae,0,0,0,0,23,0,4,24,3,4,10,17,32,9,9,34,0,184,0,49,11,12,0,29,0,6,33,66,47,3,5,24,5,106,9,0,0,62,112,8,82,127,77,28,4,15,10,0,0,0,0,0,0,0,0,0,9,12,6,17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,3,3,0,0,39,0,0,0,0,0,0,0
Stomotoca atra,Hydrozoa,0,0,0,0,9,14,5,176,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,12,20,13,24,244,9,34,25,44,103,41,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Styela gibbsii,Ascidiacea,0,0,0,0,2,0,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Syllidae,Polychaeta,0,0,0,0,8,0,0,0,0,0,0,0,0,47,0,0,7,4,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,8,32,32,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,195,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,335,0,7,0,0,0,0,0,0,0,0,0,0,0
Synchaeta,Eurotatoria,0,0,0,0,117,112,75,75,3,5,22,20,4,39,18,72,78,187,12,77,113,25,0,31,4,117,23,8,41,21,127,109,52,143,65,0,74,48,127,3,135,52,80,13,7,66,32,143,0,0,0,0,5,9,104,0,2,27,0,20,0,0,0,0,20,189,0,0,0,0,2,0,29,39,43,0,0,14,155,187,188,3,61,140,0,19,0,0,0,0,0
Synchaetidae sp. COIMB2108,Eurotatoria,0,0,0,0,285,376,463,850,70,581,603,395,60,149,155,163,143,323,57,287,368,74,0,530,610,1391,641,1399,3197,273,412,594,790,1773,1950,0,279,186,186,61,477,212,248,191,504,2666,816,1321,0,78,7,0,71,266,328,5,184,68,128,213,10,0,0,3,198,747,0,223,0,0,47,38,180,444,802,0,0,98,301,278,58,3,220,964,0,237,0,0,0,0,0
Teleaulax,Cryptophyceae,0,0,0,0,7,0,5,0,0,0,4,0,0,0,5,5,0,8,0,5,6,0,0,0,0,6,0,0,4,19,20,21,4,10,9,0,3,4,0,0,5,6,5,0,12,0,8,6,0,9,0,0,4,0,0,0,0,0,5,0,0,0,0,0,10,30,4,4,0,0,0,4,6,12,16,0,0,3,6,0,0,0,24,17,0,6,0,0,0,0,0
Thalassionema nitzschioides,Fragilariophyceae,0,0,0,0,107,3,11,35,28,7,64,48,75,29,16,141,39,38,0,18,23,24,0,61,90,46,83,41,67,0,37,41,12,57,94,0,35,53,70,17,72,106,93,39,39,22,51,38,0,0,0,0,0,6,4,0,34,37,39,81,25,0,0,0,0,7,0,0,0,0,0,0,0,18,51,0,0,0,10,15,119,0,0,34,0,0,0,0,0,0,0
Thalassiosirales,Coscinodiscophyceae,0,0,0,0,16,0,5,18,16,0,18,22,25,8,0,39,14,24,0,3,7,7,0,18,19,20,23,25,19,0,0,0,0,44,53,0,7,22,14,10,33,29,12,8,10,20,9,0,0,0,0,0,0,0,0,0,8,15,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,63,0,0,12,0,0,0,0,0,0,0
Tisbe sp. FHL 5,Hexanauplia,0,0,0,0,107,5,0,7,0,3,15,0,0,0,8,0,0,5,26,0,4,5,0,0,10,9,0,0,0,243,0,0,23,4,12,0,0,0,0,0,0,3,0,5,6,0,0,0,0,24,4,0,0,0,0,16,5,0,2,0,0,0,0,9,8,0,0,11,0,0,6,386,31,0,13,0,0,0,0,0,5,0,6,11,0,15,0,0,0,0,0
Triparma,Bolidophyceae,0,0,0,0,55,38,58,93,31,18,51,21,88,54,41,57,35,62,14,26,25,26,0,75,44,90,64,82,119,51,52,83,111,76,111,0,116,92,94,30,68,99,92,48,97,49,84,119,0,18,0,0,0,7,13,12,182,118,143,59,171,0,0,0,55,102,0,60,0,0,10,14,90,69,123,0,0,20,208,311,190,7,44,94,0,46,0,0,0,0,0
Tubulanus sp. Palaeo_OR055_22VIII16,Palaeonemertea,0,0,0,0,77,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,42,2,0,0,0,5,0,3,0,6,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,6,0,45,36,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,6,0,39,0,0,0,0,0
Vicicitus,Dictyochophyceae,0,0,0,0,33,3,0,65,20,3,51,46,95,10,4,63,40,54,0,17,25,18,0,32,51,89,57,122,110,0,84,45,8,63,79,0,53,71,100,35,52,112,83,65,80,46,78,89,0,0,0,0,0,11,15,0,41,47,28,113,29,0,0,0,5,49,0,0,0,0,0,0,0,22,56,0,0,0,65,206,109,0,0,51,0,0,0,0,0,0,0
Xylophaga washingtona,Bivalvia,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acrochaetium secundatum,Florideophyceae,0,0,0,0,0,5,6,0,0,0,4,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcyonidium,Gymnolaemata,0,0,0,0,0,5,7,0,0,0,28,12,2,11,20,17,0,0,0,0,4,0,0,0,0,0,0,0,4,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5,0,0,0,0,0,0,0,0,0,0
Balanus,Thecostraca,0,0,0,0,0,20,6,13,21,157,23,52,3,7,17,19,0,13,0,0,0,0,0,6,0,14,0,0,4,4,6,10,11,0,0,0,7,5,0,0,9,2,0,0,10,3,0,2,0,0,0,0,0,0,3,0,4,205,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,126,0,0,0,0,6,0,0,3,0,0,0,0,0,0,0
Calliopiidae,Malacostraca,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cylindrotheca,Bacillariophyceae,0,0,0,0,0,17,10,14,14,14,65,31,126,199,316,163,14,27,27,13,0,16,0,138,114,113,50,46,80,89,54,92,252,150,160,0,33,29,34,0,17,53,181,84,195,112,168,168,0,36,7,0,9,16,16,87,396,226,1231,973,960,0,0,0,12,9,0,18,0,0,104,168,1395,782,552,0,0,8,3,0,129,6,104,162,0,85,0,0,0,0,0
